Province,Average House Price,12 Month Change
British Columbia,"$736,000",+ 7.6 %
Ontario,"$594,000",– 3.2 %
Alberta,"$353,000",– 7.5 %
Quebec,"$340,000",+ 7.6 %
Manitoba,"$295,000",– 1.4 %
Saskatchewan,"$271,000",– 3.8 %
Nova Scotia,"$266,000",+ 3.5 %
Prince Edward Island,"$243,000",+ 3.0 %
Newfoundland / Labrador,"$236,000",– 1.6 %
New Brunswick,"$183,000",– 2.2 %
Canadian Average,"$488,000",– 1.3 %
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
